sentiment,txt
negative, بالله يا شباب وش رايكم بالاشكال هذه هل تتوقعون اهلهم كارهينهم والناس تجي لاهاليهم وتقول لهم حرام عليكم هذول من دمكم 
negative,﻿ يلعن اوم السخاافه
positive,﻿اللهم أغفر لى و لأمة المسلمين أجمعين
negative, وانا مع انو الطاقة الشمسية هي البديل!
positive,﻿جمال الصفحة من جمالكم و رقي اخلاقكم أنا متأكد ان صفحتنا ستعجبك فأنضم الينا و ادعو اصدقائك فنحن نسعد بك و بهم
positive,الله عليك بجد رنا يهدينا كلنا ويهدي شباب المسلمين جميعا يارب العالمين
negative,﻿ نسيانك صعب اكيد 
positive,﻿صباحك ورد و ياسمين معطرين بنسمات من الجنة يا شيخنا الجليل حفظك الله من كل سوء ، نحبك في الله
positive,﻿اللهم قني عذاب النار و ادخلني جناتك
positive,خت قرار كتير وبرجع تاني بحاول اتغير ومش عرفة
negative,﻿ اوووي شكد قااسي 
positive,ربنا يصلح حالنا
negative,"للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل"
positive,﻿صح لسانك
negative, ما اسخفك
negative,﻿العاهات اللي عندهم ... ياناس روووح موتو ابرك لكم
negative, ليش هيك معجبين على الاردني
positive,التفائل حلو في الحياة بس الاهم تكون عايش مع ناس متفائلين مش تكون لحالك المتفائل
negative,لا للمفاعل داخل الأردن
positive,الله اكبر ما احلاكم وما اشجعكم
positive,﻿اتحزن : فإن الله يدافع عنك ، والملائكة تستغفر لك ، و المؤمنون يشركونك في دعائهم كل صلاة ،و النبي صلى الله عليه و سلم يشفع ، و القرآن يعدك وعدا حسنا ،و فوق هذا رحمة أرحم الراحمين
negative,﻿اللي موافق عالمفاعل يبنيه جنب داره ... ما يسطح الواحد غير المتحذلقين اللي يخلوا حالهم مثل ابو العريف ما حد يفهم غيرهم .... رابع افقر دوله في العالم في المياه و تبنى مفاعل نووي !!! استنوا لما يطورو مفاعلات نووية صحراوية و بعدين اشطحوا
positive,يا رب إجعلنا من الصالحين
positive,بارك الله فيك يانوسة وجعلها فى ميزان حسناتك
positive,اسأل الله عزوجل له الثبات
positive,﻿فعلا البت جده لما تحتاج ليه هو الانسان الصادق و هو البستاهل تضحي عشان
positive,بدعى على طول بأن الله يرزقنى الخشوع 
negative,للبرنامج التافه الي يسمح لهذا الشي
positive,اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك 
negative, والغناء تجد لك ١٠٠ مليون وكلهم زبالة
negative, بس الحكام ماعندهم ذوق للأسف
negative,﻿للهم خذهم اخد عزيز مقتدر فانهم لا يرحموا الضعفاء اللهم سلط عليهم عذابك فانهم ارونا الويلات 
positive,اللهم اهدنا صراطك المستقيم
negative,يع يع يع الله يقرفه وهذي يللي﻿ تقول حمضيات وش دراه عمره ذايقه طعمه
negative, تفه عليك وع شكلك ، أول ما نشهرت طلقت زوجها ، خنزيرة 
positive,﻿انا كل يوم أقول غدا سوف اصلي لكن لا اقدر و انا أدعوا الله دائما ان يهديني .أرجو من من يملك حل مراسلتي.
negative, فعلا فضايح ما توقعتها في شبابنا المتخلف اخلاقياً وصوتياً وبدنياً اها وعقلياً بالتأكيد
positive,روعة الاشياء تبقى روائحها بقى اصحابها ام انصرفوا
positive,كل شئ في حب الله تهون وحب ربنا أقوى بكتير من أى حاجه
positive,﻿الله اكبر و ما من دابتن الا على الله رزقه
positive,﻿اللهم اغفر لي ما لا يعلمون و اجعلني خيرا مما يظنون
positive,لا طبعا التقرب الى الله هو خير علاج للحالات النفسية
negative, فاشل....فاشله....برنامج فاشل
positive,ونعم.بالله أرحم الراحمين وأنيس المستوحشين
negative,﻿ تقول داخله فيها ترله انحولت مع الاغنيه 
negative,﻿لا هديله بالشوز زى الصعيدى الى يكرمه الى ضربه بالشبشب ناقصة حرامية
positive,نسأل الله تعالى أن تكون بحق أرحنا بها يا بلال و ليس أرحنا منه
positive,الله ياريت يبقى فى اخلاق كدة فى الوقت دة
negative,﻿ عاهات
negative,"للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل"
positive,اللهم كما حسنت خَلقنا حَسن أَخلاقِنا 
negative,﻿و إذا فادنا بشي رح يكون في خسارة كبيرة بالاخر
negative,﻿احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار و الفواكه مواد كيماوية شوارع مش مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء .. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .
negative, الظاهر أنه 90% جايين يستهبلون عالحكام بس!!
negative, هما بس الى بيسعوا للغناء ده طبعا غير الاشتغالات والافلام الهندى الى احنا شفنها
negative,﻿ من الي ضاحك عليهم انو اصواتهم حلوة
